Time (s),Take sample,Powertrain 1 ESC throttle - target (?s)
80.7,,1373.529
80.8,,1373.529
80.9,,1370.589
81,,1370.589
81.1,,1367.646
81.2,,1367.646
81.3,,1364.706
81.4,,1364.706
81.5,,1361.766
81.6,,1361.766
81.7,,1361.766
81.8,,1361.766
81.9,,1361.766
82,,1361.766
82.1,,1361.766
82.2,,1364.706
82.3,,1364.706
82.4,,1364.706
82.5,,1364.706
82.6,,1364.706
82.7,,1364.706
82.8,,1367.646
82.9,,1373.529
83,,1373.529
83.1,,1373.529
83.2,,1373.529
83.3,,1373.529
83.4,,1373.529
83.5,,1373.529
83.6,,1373.529
83.7,,1373.529
83.8,,1373.529
83.9,,1373.529
84,,1373.529
84.1,,1373.529
84.2,,1373.529
84.3,,1376.472
84.4,,1379.412
84.5,,1382.352
84.6,,1382.352
84.7,,1385.295
84.8,,1385.295
84.9,,1385.295
85,,1385.295
85.1,,1385.295
85.2,,1385.295
85.3,,1385.295
85.4,,1388.2350000000001
85.5,,1388.2350000000001
85.6,,1388.2350000000001
85.7,,1388.2350000000001
85.8,,1388.2350000000001
85.9,,1385.295
86,,1382.352
86.1,,1382.352
86.2,,1382.352
86.3,,1382.352
86.4,,1382.352
86.5,,1382.352
86.6,,1382.352
86.7,,1382.352
86.8,,1382.352
86.9,,1382.352
87,,1379.412
87.1,,1376.472
87.2,,1376.472
87.3,,1373.529
87.4,,1373.529
87.5,,1370.589
87.6,,1370.589
87.7,,1367.646
87.8,,1367.646
87.9,,1367.646
88,,1364.706
88.1,,1364.706
88.2,,1361.766
88.3,,1361.766
88.4,,1361.766
88.5,,1358.823
88.6,,1358.823
88.7,,1358.823
88.8,,1358.823
88.9,,1355.883
89,,1355.883
89.1,,1352.94
89.2,,1352.94
89.3,,1350
89.4,,1350
89.5,,1347.06
89.6,,1347.06
89.7,,1347.06
89.8,,1347.06
89.9,,1347.06
90,,1347.06
90.1,,1347.06
90.2,,1347.06
90.3,,1347.06
90.4,,1347.06
90.5,,1344.117
90.6,,1344.117
90.7,,1344.117
90.8,,1344.117
90.9,,1344.117
91,,1347.06
91.1,,1347.06
91.2,,1347.06
91.3,,1347.06
91.4,,1347.06
91.5,,1347.06
91.6,,1347.06
91.7,,1347.06
91.8,,1347.06
91.9,,1350
92,,1352.94
92.1,,1352.94
92.2,,1355.883
92.3,,1358.823
92.4,,1361.766
92.5,,1361.766
92.6,,1364.706
92.7,,1364.706
92.8,,1367.646
92.9,,1370.589
93,,1373.529
93.1,,1373.529
93.2,,1373.529
93.3,,1373.529
93.4,,1373.529
93.5,,1376.472
93.6,,1376.472
93.7,,1376.472
93.8,,1379.412
93.9,,1379.412
94,,1379.412
94.1,,1382.352
94.2,,1382.352
94.3,,1382.352
94.4,,1382.352
94.5,,1382.352
94.6,,1382.352
94.7,,1382.352
94.8,,1382.352
94.9,,1382.352
95,,1382.352
95.1,,1382.352
95.2,,1379.412
95.3,,1379.412
95.4,,1376.472
95.5,,1376.472
95.6,,1376.472
95.7,,1373.529
95.8,,1373.529
95.9,,1370.589
96,,1367.646
96.1,,1367.646
96.2,,1367.646
96.3,,1364.706
96.4,,1364.706
96.5,,1361.766
96.6,,1361.766
96.7,,1358.823
96.8,,1358.823
96.9,,1358.823
97,,1358.823
97.1,,1358.823
97.2,,1355.883
97.3,,1355.883
97.4,,1355.883
97.5,,1352.94
97.6,,1352.94
97.7,,1352.94
97.8,,1352.94
97.9,,1352.94
98,,1352.94
98.1,,1352.94
98.2,,1352.94
98.3,,1352.94
98.4,,1350
98.5,,1344.117
98.6,,1344.117
98.7,,1341.177
98.8,,1341.177
98.9,,1338.234
99,,1335.2939999999999
99.1,,1329.411
99.2,,1326.471
