Time (s),Take sample,Powertrain 1 ESC throttle - target (μs)
519.0, ,1288.236
520.0, ,1290.196
521.0, ,1301.96
522.0, ,1305.882
523.0, ,1307.844
524.0, ,1307.844
525.0, ,1317.648
526.0, ,1315.686
527.0, ,1282.352
528.0, ,1250.98
529.0, ,1227.45
530.0, ,1200.0
531.0, ,1200.0
532.0, ,1200.0
533.0, ,1200.0
534.0, ,1200.0
535.0, ,1200.0
536.0, ,1200.0
537.0, ,1200.0
538.0, ,1200.0
539.0, ,1200.0
540.0, ,1200.0
541.0, ,1400.0
542.0, ,1400.0
543.0, ,1400.0
544.0, ,1400.0
545.0, ,1400.0
546.0, ,1200.0
547.0, ,1200.0
548.0, ,1241.176
549.0, ,1296.078
550.0, ,1339.216
551.0, ,1360.784
552.0, ,1362.746
553.0, ,1352.942
554.0, ,1333.334
555.0, ,1327.45
556.0, ,1327.45
557.0, ,1327.45
558.0, ,1325.49
559.0, ,1331.372
560.0, ,1339.216
561.0, ,1335.294
562.0, ,1341.176
563.0, ,1333.334
564.0, ,1339.216
565.0, ,1339.216
566.0, ,1339.216
567.0, ,1347.058
568.0, ,1352.942
569.0, ,1350.98
570.0, ,1358.824
571.0, ,1366.666
572.0, ,1368.628
573.0, ,1364.706
574.0, ,1352.942
575.0, ,1343.138
576.0, ,1343.138
577.0, ,1333.334
578.0, ,1331.372
579.0, ,1339.216
580.0, ,1341.176
581.0, ,1343.138
582.0, ,1349.02
583.0, ,1356.862
584.0, ,1352.942
585.0, ,1352.942
586.0, ,1352.942
587.0, ,1352.942
588.0, ,1350.98
589.0, ,1349.02
590.0, ,1343.138
591.0, ,1343.138
592.0, ,1339.216
593.0, ,1341.176
594.0, ,1345.098
595.0, ,1341.176
596.0, ,1345.098
597.0, ,1315.686
598.0, ,1288.236
599.0, ,1280.392
600.0, ,1276.47
601.0, ,1282.352
602.0, ,1284.314
603.0, ,1288.236
604.0, ,1292.156
605.0, ,1290.196
606.0, ,1300.0
607.0, ,1301.96
608.0, ,1309.804
609.0, ,1313.726
610.0, ,1317.648
611.0, ,1325.49
612.0, ,1331.372
613.0, ,1327.45
614.0, ,1331.372
615.0, ,1333.334
616.0, ,1337.254
617.0, ,1331.372
618.0, ,1335.294
619.0, ,1333.334
620.0, ,1325.49
621.0, ,1311.764
622.0, ,1303.922
623.0, ,1288.236
624.0, ,1276.47
625.0, ,1288.236
626.0, ,1294.118
627.0, ,1301.96
628.0, ,1286.274
629.0, ,1249.02
630.0, ,1207.844
631.0, ,1200.0
632.0, ,1200.0
633.0, ,1200.0
634.0, ,1200.0
635.0, ,1200.0
636.0, ,1200.0
637.0, ,1400.0
638.0, ,1400.0
639.0, ,1200.0
