Time (s),MGM ESC throttle (μs),MGM force Fz (thrust) (N),MGM torque MZ (torque) (N⋅m),MGM voltage (V),MGM current (A),MGM rotation speed (rpm),MGM electrical power (W),MGM mechanical power (W),MGM motor & ESC efficiency (%),MGM propeller efficiency (N/W),MGM powertrain efficiency (N/W)
8.5,1200,0.001760599,-5.83462E-05,16.94023323059082,1.1411027908325195,2564.4940807186294,19.330547332763672,-0.01566907,-0.081058592,-0.112361453,9.10786E-05
8.6,1200,-0.000668661,3.21618E-05,16.94024658203125,1.147512674331665,2564.8370837118287,19.43914794921875,0.008638317,0.044437734,-0.077406414,-3.43977E-05
8.7,1200,-0.001698949,-0.000381345,16.940082550048828,1.1644848585128784,2568.228937439819,19.726469039916992,-0.102560624,-0.519913714,0.016565313562750816,-8.61253E-05
8.8,1200,-0.001794954,-0.000377042,16.93998908996582,1.1655231714248657,2580.0964912988243,19.74394989013672,-0.10187196,-0.515965419,0.017619706690311432,-9.09116E-05
8.9,1200,-0.002507533,-0.000122567,16.939990997314453,1.1711283922195435,2585.483998805428,19.838905334472656,-0.033185042,-0.167272554,0.075562142,-0.000126395
9,1200,-0.000787365,0.000119163,16.940021514892578,1.1746267080307007,2588.8073685033405,19.89820098876953,0.032305117696523666,0.16235194634646177,-0.02437276,-3.95697E-05
9.1,1200,-0.001849382,-0.000139472,16.93993568,1.1797009706497192,2591.303975676439,19.984058380126953,-0.037847314,-0.189387519,0.048864297568798065,-9.25429E-05
9.2,1200,-0.001488462,-0.000155954,16.93997573852539,1.169171929359436,2590.4702190379153,19.805744171142578,-0.042306054,-0.213604979,0.035183184,-7.5153E-05
9.3,1200,-0.001274864,-0.000413117,16.939970016479492,1.1705931425094604,2590.3070230513463,19.82981300354004,-0.112060629,-0.56511187,0.011376559734344482,-6.42903E-05
9.4,1200,-0.000990884,-0.000385956,16.93999671936035,1.1590546369552612,2590.595530241888,19.634382247924805,-0.104704708,-0.533272233,0.009463601,-5.04668E-05
9.5,1200,-0.001381924,-0.000220752,16.940044403076172,1.1582602262496948,2588.4107439716972,19.62097930908203,-0.059836484,-0.30496174,0.023095013573765755,-7.0431E-05
9.6,1200,-0.002926678,-0.000204508,16.940017700195312,1.1567906141281128,2589.396622583416,19.596054077148438,-0.055454511,-0.282988162,0.052776195,-0.00014935
9.7,1200,-0.002302208,-0.000137837,16.94002342224121,1.160758137702942,2591.902846662866,19.663270950317383,-0.037412085,-0.190263789,0.061536476,-0.000117082
9.8,1200,-0.002703083,-5.87041E-05,16.940078735351562,1.152406096458435,2591.062678753441,19.52185059,-0.015928499,-0.081593188,0.16970102488994598,-0.000138464
9.9,1200,-0.001823562,1.57866E-05,16.940044403076172,1.1518231630325317,2589.8372517471516,19.51193618774414,0.004281445,0.021942696,-0.425922126,-9.34588E-05
10,1200,-0.002908139,-4.3927E-05,16.93999671936035,1.1618009805679321,2590.2353333858177,19.680904388427734,-0.011915137,-0.060541613,0.24407093226909637,-0.000147764
10.1,1200,-0.003296732,0.000117979,16.939977645874023,1.1719497442245483,2590.8592666130394,19.852802276611328,0.032009318470954895,0.16123325331136584,-0.10299287,-0.000166059
10.2,1200,-0.004509079,3.56071E-05,16.939931869506836,1.168857455253601,2589.1194808276537,19.800365447998047,0.009654215,0.048757760669104755,-0.467058063,-0.000227727
10.3,1200,-0.002979172,-5.0393E-05,16.939924240112305,1.1792786121368408,2590.2032770313135,19.976890563964844,-0.013668877,-0.068423443,0.2179529219865799,-0.000149131
10.4,1200,-0.002887493,-1.74806E-05,16.939931869506836,1.163588285446167,2589.0405056270106,19.711105346679688,-0.004739399,-0.024044309,0.6092530488967896,-0.000146491
10.5,1200,-0.002285651,-7.98036E-05,16.939918518066406,1.1682707071304321,2590.6424490880263,19.790411,-0.021650029,-0.109396561,0.1055726557970047,-0.000115493
10.6,1200,-0.001399863,9.21029E-05,16.939956665039062,1.1635386943817139,2591.936068702989,19.710294723510742,0.024999201,0.12683321256190538,-0.055996291,-7.10219E-05
10.7,1200,-0.00077016,-4.01896E-05,16.939905166625977,1.1710638999938965,2588.4792280017755,19.837711334228516,-0.010893999,-0.054915604,0.070695765,-3.8823E-05
10.8,1200,-0.000368537,-5.34419E-05,16.93993377685547,1.1644644737243652,2588.538969389716,19.725950241088867,-0.014486572,-0.073439151,0.025439905002713203,-1.86829E-05
10.9,1200,0.001167162,2.48363E-05,16.93988609313965,1.1694836616516113,2586.5004766646284,19.81092071533203,0.006727102,0.033956536,0.1735013723373413,5.89151E-05
11,1350,0.002543181,-0.00023907,16.939876556396484,1.1636607646942139,2590.2047341383363,19.712268829345703,-0.064846799,-0.328966673,-0.039218303,0.000129015
11.1,1350,0.002997211,-0.054162189,16.905744552612305,3.6150596141815186,3292.870116551263,61.115272521972656,-18.67667007,-30.55973947,-0.000160479,4.90419E-05
11.2,1350,0.001644867,-0.039505322,16.902538299560547,3.8937268257141113,4811.460936005722,65.81386566,-19.90495491,-30.24431765,-8.26361E-05,2.49927E-05
11.3,1350,0.004306139,-0.021345485,16.90674591064453,3.5725040435791016,5713.200651,60.399417877197266,-12.77068329,-21.14371806,-0.000337189,7.12944E-05
11.4,1350,0.004987065,-0.011489236,16.909135818481445,3.406334877,6194.724397812018,57.59817886352539,-7.45318222,-12.93996125,-0.000669119,8.65837E-05
11.5,1350,0.000746568,-0.006136737,16.91040802001953,3.3151333332061768,6452.860232410086,56.06025695800781,-4.146850586,-7.397130877,-0.000180033,1.33172E-05
11.6,1350,-0.000161019,-0.003475941,16.911043167114258,3.2632992267608643,6592.3216941037235,55.185794830322266,-2.399603128,-4.348225892,6.71022E-05,-2.91775E-06
11.7,1350,0.003532743,-0.00195058,16.91144371032715,3.2547178268432617,6666.704093410563,55.04197692871094,-1.36176908,-2.474055439,-0.002594231,6.41827E-05
11.8,1350,0.003643207,-0.001035582,16.91168975830078,3.2334511280059814,6704.639583331298,54.68312072753906,-0.727090657,-1.329643652,-0.005010664,6.6624E-05
