Time (s),Powertrain 1 - ESC throttle (μs),Powertrain 1 - force Fz (thrust) (N),Powertrain 1 - torque MZ (torque) (N⋅m),Powertrain 1 - voltage (V),Powertrain 1 - current (A),Powertrain 1 - rotation speed (rpm),Powertrain 1 - electrical power (W),Powertrain 1 - mechanical power (W),Powertrain 1 - motor & ESC efficiency (%),Powertrain 1 - propeller efficiency (N/W),Powertrain 1 - powertrain efficiency (N/W),Powertrain 1 - Temperature PT100 2 (°C)
97.1,1859,-24.005834579467773,0.4476073384284973,16.954513549804688,56.666114807128906,12703.653525621874,960.7463989257812,595.4625854492188,61.97916269302368,-0.04031459987163544,-0.02498665079474449,27.674707031250023
97.2,1859,-23.923892974853516,0.443677693605423,16.958337783813477,55.87897491455078,12664.251020350446,947.614501953125,588.4041137695312,62.09319829940796,-0.040658947080373764,-0.02524643950164318,27.675561523437523
97.3,1859,-23.776412963867188,0.44120970368385315,16.956329345703125,55.38544845581055,12625.526944108897,939.1339111328125,583.3419189453125,62.114882469177246,-0.04075896367430687,-0.02531738393008709,27.676232910156273
97.4,1859,-23.599571228027344,0.4397110939025879,16.955041885375977,54.973899841308594,12597.376802111392,932.0847778320312,580.0643310546875,62.23300099372864,-0.040684401988983154,-0.02531912550330162,27.677056884765648
97.5,1859,-23.469707489013672,0.43742993474006653,16.95379638671875,54.639610290527344,12580.410247936325,926.3488159179688,576.27783203125,62.20959424972534,-0.040726374834775925,-0.025335712358355522,27.678979492187523
97.6,1859,-23.396011352539062,0.43579259514808655,16.95359230041504,54.34929656982422,12569.62532459536,921.4158325195312,573.6286010742188,62.25512623786926,-0.04078599065542221,-0.02539137192070484,27.679650878906273
97.7,1859,-23.31269073486328,0.4345148801803589,16.954078674316406,54.045372009277344,12567.70544038194,916.2894897460938,571.859375,62.41034269332886,-0.04076647385954857,-0.025442494079470634,27.680993652343773
97.8,1859,-23.178014755249023,0.43254226446151733,16.954483032226562,53.73354721069336,12148.515566538748,911.0245361328125,550.2757568359375,60.40186285972595,-0.04212072491645813,-0.02544170245528221,27.683557128906273
97.9,1859,-23.111539840698242,0.431735634803772,16.953401565551758,53.51249313354492,12334.401623668748,907.2188110351562,557.6536865234375,61.468493938446045,-0.04144424945116043,-0.0254751555621624,27.685968017578148
98,1849,-23.090476989746094,0.43046754598617554,16.951833724975586,53.40830612182617,12425.412528321333,905.3687133789062,560.118408203125,61.86633110046387,-0.04122427850961685,-0.02550394833087921,27.688378906250023
98.1,1849,-23.089035034179688,0.4291881024837494,16.956253051757812,53.00553894042969,12464.13077613479,898.7753295898438,560.1937866210938,62.32856512069702,-0.041216157376766205,-0.025689439848065376,27.690545654296898
98.2,1849,-22.84930419921875,0.42581069469451904,16.958593368530273,52.404327392578125,12468.638482420945,888.7036743164062,555.9864501953125,62.5615119934082,-0.041096869856119156,-0.025710824877023697,27.692559814453148
98.3,1849,-22.667755126953125,0.4238199293613434,16.957197189331055,51.96312713623047,12462.082666503351,881.1489868164062,553.0961303710938,62.769877910614014,-0.04098339006304741,-0.025725223124027252,27.694573974609398
98.4,1849,-22.492279052734375,0.4206441640853882,16.95716094970703,51.55082321166992,12456.665725434885,874.1555786132812,548.7130737304688,62.77064085006714,-0.04099096730351448,-0.02573029138147831,27.695977783203148
98.5,1849,-22.409751892089844,0.41721200942993164,16.95708656311035,51.13418197631836,12454.396135535959,867.0867309570312,544.1367797851562,62.7545952796936,-0.041184041649103165,-0.02584487944841385,27.698907470703148
98.6,1849,-22.40792465209961,0.4166911542415619,16.95585823059082,50.81318664550781,12443.671827847149,861.5811767578125,542.989501953125,63.022446632385254,-0.04126769304275513,-0.026007909327745438,27.700646972656273
98.7,1849,-22.345775604248047,0.41628503799438477,16.953523635864258,50.66740798950195,12421.818719559964,858.9910888671875,541.5076904296875,63.03996443748474,-0.04126585274934769,-0.026013977825641632,27.703881835937523
98.8,1849,-22.370101928710938,0.41468626260757446,16.952402114868164,50.599143981933594,12403.424200502419,857.7770385742188,538.629150390625,62.793612480163574,-0.04153154790401459,-0.02607915736734867,27.705957031250023
98.9,1849,-22.416309356689453,0.4163350462913513,16.951818466186523,50.550323486328125,12389.866111075404,856.919921875,540.1796264648438,63.03735375404358,-0.04149787873029709,-0.026159165427088737,27.708825683593773
99,1843,-22.389610290527344,0.41692832112312317,16.95045280456543,50.620357513427734,12373.75050740173,858.0379638671875,540.2457885742188,62.96291947364807,-0.04144338145852089,-0.02609396167099476,27.710504150390648
99.1,1843,-22.57547378540039,0.4165809750556946,16.952804565429688,50.55483627319336,12352.687733963785,857.0462646484375,538.8768310546875,62.87605166435242,-0.04189356788992882,-0.026341021060943604,27.712304687500023
99.2,1843,-22.432723999023438,0.4176888167858124,16.95391082763672,50.35146713256836,12330.1993270146,853.654296875,539.3262329101562,63.17853331565857,-0.04159397631883621,-0.026278464123606682,27.713769531250023
99.3,1843,-22.363929748535156,0.4150685966014862,16.953752517700195,50.171138763427734,12321.710804341783,850.5890502929688,535.5740356445312,62.96507120132446,-0.04175693541765213,-0.026292284950613976,27.714837646484398
99.4,1843,-22.25659942626953,0.41548874974250793,16.95396614074707,50.004600524902344,12316.602769962179,847.7763061523438,535.8939208984375,63.21170926094055,-0.041531726717948914,-0.02625291608273983,27.716485595703148
99.5,1843,-22.275808334350586,0.41250336170196533,16.95353126525879,49.87273406982422,12309.919894312185,845.5189819335938,531.7546997070312,62.89092302322388,-0.04189113527536392,-0.026345722377300262,27.718316650390648
99.6,1843,-22.192768096923828,0.4140821397304535,16.953155517578125,49.77848815917969,12309.406992640112,843.9024658203125,533.7676391601562,63.249921798706055,-0.04157758131623268,-0.026297789067029953,27.719415283203148
99.7,1843,-22.150615692138672,0.41189044713974,16.953523635864258,49.635623931884766,12308.198176653883,841.4987182617188,530.8903198242188,63.08866739273071,-0.041723523288965225,-0.02632281556725502,27.720483398437523
99.8,1843,-22.08683204650879,0.41252586245536804,16.953330993652344,49.530696868896484,12305.59636635373,839.7103271484375,531.596923828125,63.30718398094177,-0.04154808074235916,-0.026302918791770935,27.721795654296898
99.9,1843,-22.1562557220459,0.4104994535446167,16.952363967895508,49.459877014160156,12297.948303011743,838.4618530273438,528.6568603515625,63.05079460144043,-0.04191046580672264,-0.02642488293349743,27.723504638671898
100,1824,-22.201974868774414,0.4129772484302521,16.951372146606445,49.4937858581543,12286.97220722937,838.9876098632812,531.3731689453125,63.33504319190979,-0.04178226739168167,-0.026462817564606667,27.724420166015648
100.1,1824,-22.258224487304688,0.40828123688697815,16.95924186706543,49.03151321411133,12269.701409107913,831.5372924804688,524.5924682617188,63.087064027786255,-0.04242955520749092,-0.026767559349536896,27.725030517578148
100.2,1824,-21.969602584838867,0.40325087308883667,16.965547561645508,47.96754455566406,12222.883977618169,813.795654296875,516.1520385742188,63.42526078224182,-0.042564209550619125,-0.026996461674571037,27.726464843750023
