Time (s),ARC_RD - ESC throttle (μs),ARC_RD - force Fz (thrust) (N),ARC_RD - torque MZ (torque) (N⋅m),ARC_RD - voltage (V),ARC_RD - current (A),ARC_RD - rotation speed (rpm),ARC_RD - electrical power (W),ARC_RD - mechanical power (W),ARC_RD - motor & ESC efficiency (%),ARC_RD - propeller efficiency (N/W),ARC_RD - powertrain efficiency (N/W)
11.8,1798,18.306968688964844,0.3352578282356262,14.810187339782715,56.78451156616211,11166.683049601505,840.9892578,392.0412292480469,46.61667346954346,0.04669654,0.021768374368548393
11.9,1806,18.604286193847656,0.34215486,14.71265697479248,59.21782684326172,11252.921637332569,871.2515869140625,403.1963806152344,46.277835965156555,0.046141997,0.021353518590331078
12,1816,18.858617782592773,0.34963345527648926,14.597901344299316,62.00711441040039,11342.211990012473,905.1737670898438,415.2784118652344,45.87830901145935,0.045411985367536545,0.020834252
12.1,1816,19.088821411132812,0.35411548614501953,14.494515419006348,64.70304107666016,11432.10616784268,937.8392333984375,423.9355163574219,45.20342946052551,0.045027654618024826,0.020354043692350388
12.2,1822,19.539592742919922,0.3601313829421997,14.419269561767578,66.94404602050781,11520.151568282186,965.2842407226562,434.4579772949219,45.00829577445984,0.044974644,0.020242320373654366
12.3,1829,19.828113555908203,0.36325326561927795,14.325150489807129,69.41156005859375,11588.630935617708,994.3310547,440.8291320800781,44.33424174785614,0.044979136,0.019941158592700958
12.4,1837,20.10470962524414,0.367055207,14.262680053710938,71.24107360839844,11628.627940554494,1016.088623046875,446.98040771484375,43.99029612541199,0.044978950172662735,0.019786374643445015
12.5,1847,20.126466751098633,0.36262285709381104,14.219242095947266,72.5739975,11622.357717613395,1031.947266,441.3448181152344,42.76815653,0.04560259,0.019503386691212654
12.6,1853,19.948081970214844,0.3572143018245697,14.18222427368164,73.67391967773438,11580.061980637225,1044.860107421875,433.1799316,41.45817756652832,0.046050336211919785,0.01909163
12.7,1864,19.858577728271484,0.35614246129989624,14.154378890991211,74.5785141,11542.853295699531,1055.612548828125,430.4924621582031,40.78129529953003,0.046129908,0.018812373280525208
12.8,1870,19.774372100830078,0.35806259512901306,14.124091148376465,75.35284423828125,11526.269086407281,1064.2904052734375,432.1916198730469,40.60842693,0.045753717,0.018579864874482155
12.9,1874,19.736848831176758,0.3555337190628052,14.126046180725098,75.48930358886719,11517.979895975202,1066.3653564453125,428.8305664,40.21422266960144,0.046024818,0.018508524
13,1880,19.651880264282227,0.353382945,14.138566970825195,75.33203887939453,11500.236995178315,1065.0870361328125,425.57977294921875,39.95727598667145,0.046176724,0.018450960516929626
13.1,1882,19.62051773071289,0.35155045986175537,14.140859603881836,75.26321411132812,11485.167011504302,1064.2864990234375,422.8181457519531,39.727845788002014,0.046404153,0.018435372039675713
13.2,1895,19.564056396484375,0.3481672704219818,14.15367603302002,75.02001953,11462.621485959817,1061.809082,417.9270935058594,39.35990929603577,0.046812128,0.018425211310386658
13.3,1901,19.46844482421875,0.3493189215660095,14.142648696899414,75.11529541015625,11437.222362021614,1062.3292236328125,418.3803711,39.38330411911011,0.046532884,0.018326187506318092
