Time (s),ARC RD - ESC throttle (μs),ARC RD - force Fz (thrust) (N),ARC RD - torque MZ (torque) (N⋅m),ARC RD - voltage (V),ARC RD - current (A),ARC RD - rotation speed (rpm),ARC RD - electrical power (W),ARC RD - mechanical power (W),ARC RD - motor & ESC efficiency (%),ARC RD - propeller efficiency (N/W),ARC RD - powertrain efficiency (N/W)
8.4,1000,12.385677337646484,0.22893249988555908,16.952251434326172,19.88432502746582,9166.093175237387,337.0840759277344,219.7456817626953,65.19016623497009,0.056363691,0.036743585020303726
8.5,1000,12.843355178833008,0.23666946589946747,16.951011657714844,21.06298256,9352.247340059605,357.0388488769531,231.78579711914062,64.91892934,0.055410448,0.035971869
8.6,1000,13.474581718444824,0.24854689836502075,16.94933319091797,22.31657600402832,9537.260882,378.2510681152344,248.2336426,65.62668085098267,0.054281853,0.035623379
8.7,1000,13.84970474243164,0.2565390467643738,16.94683265686035,23.712329864501953,9724.106297898168,401.848877,261.2352600097656,65.00833034515381,0.053016215562820435,0.034464959
8.8,1000,14.481279373168945,0.26863136887550354,16.945608139038086,25.133323669433594,9911.733889,425.8994445800781,278.82708740234375,65.46782255,0.051936414,0.034001637
8.9,1000,14.916610717773438,0.2786098122596741,16.94369125366211,26.634729385375977,10094.546033496392,451.2906188964844,294.5179748535156,65.26126861572266,0.050647538155317307,0.033053223
9,1000,15.47603988647461,0.29166367650032043,16.941713333129883,28.191837310791016,10277.111052299715,477.6180114746094,313.8932800292969,65.72057008743286,0.049303509294986725,0.032402545
9.1,1000,15.998504638671875,0.3011122941970825,16.939922332763672,29.81295394897461,10462.906185951482,505.02911376953125,329.92059326171875,65.32704234,0.048491984605789185,0.031678379
9.2,1000,16.604694366455078,0.3134402334690094,16.93823814,31.471994400024414,10649.545275990933,533.0801391601562,349.5541076660156,65.57253003120422,0.047502499,0.03114859
9.3,1000,17.27379799,0.32605716586112976,16.936763763427734,33.184593200683594,10836.011844558869,562.0396118164062,369.9915771484375,65.83015919,0.046687003,0.030734129
9.4,1000,17.825105667114258,0.3372238576412201,16.93458366394043,34.99488830566406,11020.86510423101,592.6238403320312,389.1908264160156,65.67248702049255,0.045800425,0.030078278854489326
9.5,1000,18.446096420288086,0.34971973299980164,16.932146072387695,36.88032913208008,11205.706707046967,624.4631348,410.3817138671875,65.71752429008484,0.04494863,0.029539129
9.6,1000,19.146745681762695,0.3617730140686035,16.93079948425293,38.805477142333984,11391.398094678701,657.0077514648438,431.5606384277344,65.68577289581299,0.044366293,0.029142344370484352
9.7,1000,19.594881057739258,0.36769527196884155,16.93800163269043,40.18560028076172,11553.138139910223,680.6637573242188,444.8531188964844,65.35577774047852,0.044047982,0.028787901625037193
9.8,1000,20.072134017944336,0.3772830069065094,16.932056427001953,41.91861343383789,11686.963511639144,709.7683105,461.74005126953125,65.05503654,0.043470636,0.028279839
9.9,1000,20.618295669555664,0.38922974467277527,16.92645835876465,43.976463317871094,11838.795229114698,744.3657836914062,482.5498047,64.82697129249573,0.042727809,0.027699144557118416
10,1000,21.189617156982422,0.40246182680130005,16.92144012451172,46.259891510009766,12004.103438023983,782.7839965820312,505.9213867,64.63103294372559,0.041883219,0.027069559320807457
10.1,1000,21.84735870361328,0.4182682931423187,16.914974212646484,48.909019470214844,12187.334063315384,827.2947998046875,533.8168334960938,64.52559232711792,0.040926695,0.02640819
10.2,1000,22.456371307373047,0.4318864941596985,16.91247559,51.534183502197266,12384.343092615667,871.5706176757812,560.1072998046875,64.26413059234619,0.040092982,0.025765406
10.3,1000,22.90648078918457,0.4424067735671997,16.911470413208008,54.10704422,12568.186868542318,915.0296630859375,582.2681274414062,63.63379359,0.03934009,0.025033593
10.4,1000,23.578380584716797,0.45574772357940674,16.902162551879883,57.16791534423828,12750.149227880955,966.2614135742188,608.5109252929688,62.97581195831299,0.038747668,0.024401659
10.5,1000,24.288362503051758,0.47090014815330505,16.89858055114746,60.46290207,12951.650809554352,1021.7372436523438,638.6788940429688,62.50911355018616,0.038029067,0.023771632462739944
10.6,1000,25.022415161132812,0.48538029193878174,16.896865844726562,63.58882141113281,13138.334195647301,1074.4517822265625,667.8071289,62.15329170227051,0.037469521164894104,0.023288542
10.7,1000,25.74799919128418,0.5027519464492798,16.89002037,66.98462677001953,13309.99539117659,1131.3717041015625,700.7454223632812,61.93768382072449,0.036743727,0.022758214
10.8,1000,26.570173263549805,0.5211316347122192,16.884511947631836,70.66337585449219,13484.826085902167,1193.1165771484375,735.9044189453125,61.67916655540466,0.036105469,0.022269553
10.9,1000,27.37419891357422,0.5379009246826172,16.883464813232422,74.15105438232422,13656.802016548409,1251.926758,769.2719727,61.44704818725586,0.035584550350904465,0.021865656599402428
11,1000,28.139511108398438,0.5522040128707886,16.884204864501953,77.56197357177734,13831.175762511593,1309.572266,799.8108520507812,61.07420325279236,0.035182707011699677,0.021487558260560036
11.1,1000,28.820180892944336,0.5681615471839905,16.87821388244629,80.96292877197266,13992.433213897117,1366.5096435546875,832.5181274414062,60.92296242713928,0.034618083387613297,0.02109036
11.2,1000,29.435274124145508,0.5771781802177429,16.88553810119629,83.42403411865234,14139.06364,1408.659668,854.5927124023438,60.66707968711853,0.034443628042936325,0.020895943
11.3,1000,29.72893524169922,0.5804503560066223,16.879032135009766,85.29671478271484,14219.379381247836,1439.7259521484375,864.3195801,60.033613443374634,0.034395769238471985,0.020649023354053497
11.4,1000,29.934982299804688,0.5813942551612854,16.884632110595703,86.60310363769531,14271.476202903083,1462.2615966796875,868.8969116210938,59.421443939208984,0.034451708,0.020471701
11.5,1000,30.08620262145996,0.5859607458114624,16.87673568725586,88.08123779296875,14305.499069045829,1486.5238037109375,877.8092651367188,59.05114412307739,0.034274191,0.020239301025867462
11.6,1000,30.197771072387695,0.5856987833976746,16.88956642150879,88.2750473,14331.95081,1490.927246,879.0391845703125,58.95922780036926,0.034353156,0.020254354923963547
11.7,1000,30.229028701782227,0.586467445,16.888233184814453,88.62199401855469,14342.13307097368,1496.668945,880.8181762695312,58.85190963745117,0.034319259226322174,0.020197538658976555
11.8,1000,30.231048583984375,0.5833003520965576,16.888002395629883,88.98646545410156,14344.817644952736,1502.8035888671875,876.2255249023438,58.30605626106262,0.034501448,0.020116434
11.9,1000,29.861936569213867,0.5768792033195496,16.88475227355957,89.41650391,14287.36216650994,1509.7755126953125,863.1088256835938,57.16802477836609,0.034598112,0.019779058173298836
12,1000,29.699934005737305,0.5754492878913879,16.88419532775879,89.81671142578125,14251.230575083599,1516.48291,858.7921142578125,56.630516052246094,0.034583382308483124,0.019584747031331062
12.1,1000,29.75347900390625,0.5763723254203796,16.887895584106445,90.15363311767578,14241.315253213925,1522.505126953125,859.5711669921875,56.45768642425537,0.034614328,0.019542448222637177
