Time (s),Take sample,Powertrain 1 ESC throttle - target (μs),
49.3,x,1680,1680
49.4,x,1680,1680
49.5,x,1680,1680
49.6,x,1680,1680
49.7,x,1680,1680
49.8,x,1680,1680
49.9,x,1680,1680
50,x,1680,1680
50.1,x,1717.648,1717.648
50.2,x,1774.1184,1774.1184
50.3,x,1833.7248,1833.7248
50.4,x,1846.2752,1846.2752
50.5,x,1846.2752,1846.2752
50.6,x,1833.7248,1833.7248
50.7,x,1808.6272,1808.6272
50.8,x,1799.216,1799.216
50.9,x,1796.08,1796.08
51,x,1796.08,1796.08
51.1,x,1799.216,1799.216
51.2,x,1814.9024,1814.9024
51.3,x,1833.7248,1833.7248
51.4,x,1840,1840
51.5,x,1849.4112,1849.4112
51.6,x,1846.2752,1846.2752
51.7,x,1840,1840
51.8,x,1830.5888,1830.5888
51.9,x,1821.1776,1821.1776
52,x,1824.3136,1824.3136
52.1,x,1843.136,1843.136
52.2,x,1849.4112,1849.4112
52.3,x,1852.5504,1852.5504
52.4,x,1852.5504,1852.5504
52.5,x,1868.2368,1868.2368
52.6,x,1865.0976,1865.0976
52.7,x,1811.7632,1811.7632
52.8,x,1761.568,1761.568
52.9,x,1723.92,1723.92
53,x,1680,1680
53.1,x,1680,1680
53.2,x,1680,1680
53.3,x,1680,1680
53.4,x,1680,1680
53.5,x,1680,1680
53.6,x,1680,1680
53.7,x,1680,1680
53.8,x,1680,1680
53.9,x,1680,1680
54,x,1680,1680
54.1,x,2000,2000
54.2,x,2000,2000
54.3,x,2000,2000
54.4,x,2000,2000
54.5,x,2000,2000
54.6,x,1680,1680
54.7,x,1680,1680
54.8,x,1745.8816,1745.8816
54.9,x,1833.7248,1833.7248
55,x,1902.7456,1902.7456
55.1,x,1937.2544,1937.2544
55.2,x,1940.3936,1940.3936
55.3,x,1924.7072,1924.7072
55.4,x,1893.3344,1893.3344
55.5,x,1883.92,1883.92
55.6,x,1883.92,1883.92
55.7,x,1883.92,1883.92
55.8,x,1880.784,1880.784
55.9,x,1890.1952,1890.1952
56,x,1902.7456,1902.7456
56.1,x,1896.4704,1896.4704
56.2,x,1905.8816,1905.8816
56.3,x,1893.3344,1893.3344
56.4,x,1902.7456,1902.7456
56.5,x,1902.7456,1902.7456
56.6,x,1902.7456,1902.7456
56.7,x,1915.2928,1915.2928
56.8,x,1924.7072,1924.7072
56.9,x,1921.568,1921.568
57,x,1934.1184,1934.1184
57.1,x,1946.6656,1946.6656
57.2,x,1949.8048,1949.8048
57.3,x,1943.5296,1943.5296
57.4,x,1924.7072,1924.7072
57.5,x,1909.0208,1909.0208
57.6,x,1909.0208,1909.0208
57.7,x,1893.3344,1893.3344
57.8,x,1890.1952,1890.1952
57.9,x,1902.7456,1902.7456
58,x,1905.8816,1905.8816
58.1,x,1909.0208,1909.0208
58.2,x,1918.432,1918.432
58.3,x,1930.9792,1930.9792
58.4,x,1924.7072,1924.7072
58.5,x,1924.7072,1924.7072
58.6,x,1924.7072,1924.7072
58.7,x,1924.7072,1924.7072
58.8,x,1921.568,1921.568
58.9,x,1918.432,1918.432
59,x,1909.0208,1909.0208
59.1,x,1909.0208,1909.0208
59.2,x,1902.7456,1902.7456
59.3,x,1905.8816,1905.8816
59.4,x,1912.1568,1912.1568
59.5,x,1905.8816,1905.8816
59.6,x,1912.1568,1912.1568
59.7,x,1865.0976,1865.0976
59.8,x,1821.1776,1821.1776
59.9,x,1808.6272,1808.6272
60,x,1802.352,1802.352
