Time (s),Take sample,Powertrain 1 ESC throttle - target (?s)
72,x,1274.5
72.1,x,1274.5
72.2,x,1254.9
72.3,x,1254.9
72.4,x,1235.3
72.5,x,1235.3
72.6,x,1254.9
72.7,x,1254.9
72.8,x,1274.5
72.9,x,1274.5
73,x,1274.5
73.1,x,1274.5
73.2,x,1274.5
73.3,x,1274.5
73.4,x,1274.5
73.5,x,1274.5
73.6,x,1274.5
73.7,x,1274.5
73.8,x,1294.12
73.9,x,1294.12
74,x,1313.72
74.1,x,1313.72
74.2,x,1313.72
74.3,x,1313.72
74.4,x,1313.72
74.5,x,1313.72
74.6,x,1333.34
74.7,x,1333.34
74.8,x,1333.34
74.9,x,1333.34
75,x,1352.94
75.1,x,1333.34
75.2,x,1333.34
75.3,x,1333.34
75.4,x,1333.34
75.5,x,1333.34
75.6,x,1313.72
75.7,x,1313.72
75.8,x,1313.72
75.9,x,1313.72
76,x,1313.72
76.1,x,1313.72
76.2,x,1333.34
76.3,x,1333.34
76.4,x,1333.34
76.5,x,1333.34
76.6,x,1333.34
76.7,x,1333.34
76.8,x,1352.94
76.9,x,1352.94
77,x,1352.94
77.1,x,1352.94
77.2,x,1352.94
77.3,x,1333.34
77.4,x,1333.34
77.5,x,1352.94
77.6,x,1352.94
77.7,x,1352.94
77.8,x,1352.94
77.9,x,1333.34
78,x,1333.34
78.1,x,1294.12
78.2,x,1294.12
78.3,x,1294.12
78.4,x,1294.12
78.5,x,1294.12
78.6,x,1294.12
78.7,x,1294.12
78.8,x,1294.12
78.9,x,1294.12
79,x,1274.5
79.1,x,1274.5
79.2,x,1254.9
79.3,x,1235.3
79.4,x,1215.68
79.5,x,1196.08
79.6,x,1176.48
79.7,x,1156.86
79.8,x,1156.86
79.9,x,1156.86
80,x,1156.86
80.1,x,1156.86
80.2,x,1156.86
80.3,x,1156.86
80.4,x,1156.86
80.5,x,1156.86
80.6,x,1156.86
80.7,x,1156.86
80.8,x,1156.86
80.9,x,1137.26
81,x,1137.26
81.1,x,1117.64
81.2,x,1117.64
81.3,x,1098.04
81.4,x,1098.04
81.5,x,1078.44
81.6,x,1078.44
81.7,x,1078.44
81.8,x,1078.44
81.9,x,1078.44
82,x,1078.44
82.1,x,1078.44
82.2,x,1098.04
82.3,x,1098.04
82.4,x,1098.04
82.5,x,1098.04
82.6,x,1098.04
82.7,x,1098.04
82.8,x,1117.64
82.9,x,1156.86
83,x,1156.86
83.1,x,1156.86
83.2,x,1156.86
83.3,x,1156.86
83.4,x,1156.86
83.5,x,1156.86
83.6,x,1156.86
83.7,x,1156.86
83.8,x,1156.86
83.9,x,1156.86
84,x,1156.86
84.1,x,1156.86
84.2,x,1156.86
84.3,x,1176.48
84.4,x,1196.08
84.5,x,1215.68
84.6,x,1215.68
84.7,x,1235.3
84.8,x,1235.3
84.9,x,1235.3
85,x,1235.3
85.1,x,1235.3
85.2,x,1235.3
85.3,x,1235.3
85.4,x,1254.9
85.5,x,1254.9
85.6,x,1254.9
85.7,x,1254.9
85.8,x,1254.9
85.9,x,1235.3
86,x,1215.68
86.1,x,1215.68
86.2,x,1215.68
86.3,x,1215.68
86.4,x,1215.68
86.5,x,1215.68
86.6,x,1215.68
86.7,x,1215.68
86.8,x,1215.68
86.9,x,1215.68
87,x,1196.08
87.1,x,1176.48
87.2,x,1176.48
87.3,x,1156.86
87.4,x,1156.86
87.5,x,1137.26
87.6,x,1137.26
87.7,x,1117.64
87.8,x,1117.64
87.9,x,1117.64
88,x,1098.04
88.1,x,1098.04
88.2,x,1078.44
88.3,x,1078.44
88.4,x,1078.44
88.5,x,1058.82
88.6,x,1058.82
88.7,x,1058.82
88.8,x,1058.82
88.9,x,1039.22
89,x,1039.22
89.1,x,1019.6
89.2,x,1019.6
89.3,x,1000
89.4,x,1000
89.5,x,980.4
89.6,x,980.4
89.7,x,980.4
89.8,x,980.4
89.9,x,980.4
90,x,980.4
90.1,x,980.4
90.2,x,980.4
90.3,x,980.4
90.4,x,980.4
90.5,x,960.78
90.6,x,960.78
90.7,x,960.78
90.8,x,960.78
90.9,x,960.78
91,x,980.4
91.1,x,980.4
91.2,x,980.4
91.3,x,980.4
91.4,x,980.4
91.5,x,980.4
91.6,x,980.4
91.7,x,980.4
91.8,x,980.4
91.9,x,1000
92,x,1019.6
92.1,x,1019.6
92.2,x,1039.22
92.3,x,1058.82
92.4,x,1078.44
92.5,x,1078.44
92.6,x,1098.04
92.7,x,1098.04
92.8,x,1117.64
92.9,x,1137.26
93,x,1156.86
93.1,x,1156.86
93.2,x,1156.86
93.3,x,1156.86
93.4,x,1156.86
93.5,x,1176.48
93.6,x,1176.48
93.7,x,1176.48
93.8,x,1196.08
93.9,x,1196.08
94,x,1196.08
94.1,x,1215.68
94.2,x,1215.68
94.3,x,1215.68
94.4,x,1215.68
94.5,x,1215.68
94.6,x,1215.68
94.7,x,1215.68
94.8,x,1215.68
94.9,x,1215.68
95,x,1215.68
95.1,x,1215.68
95.2,x,1196.08
95.3,x,1196.08
95.4,x,1176.48
95.5,x,1176.48
95.6,x,1176.48
95.7,x,1156.86
95.8,x,1156.86
95.9,x,1137.26
96,x,1117.64
96.1,x,1117.64
96.2,x,1117.64
96.3,x,1098.04
96.4,x,1098.04
96.5,x,1078.44
96.6,x,1078.44
96.7,x,1058.82
96.8,x,1058.82
96.9,x,1058.82
97,x,1058.82
97.1,x,1058.82
97.2,x,1039.22
97.3,x,1039.22
97.4,x,1039.22
97.5,x,1019.6
97.6,x,1019.6
97.7,x,1019.6
97.8,x,1019.6
97.9,x,1019.6
98,x,1019.6
98.1,x,1019.6
98.2,x,1019.6
98.3,x,1019.6
98.4,x,1000
98.5,x,960.78
98.6,x,960.78
98.7,x,941.18
98.8,x,941.18
98.9,x,921.56
99,x,901.96
99.1,x,862.74
99.2,x,843.14
99.3,x,823.52
99.4,x,823.52
99.5,x,803.92
99.6,x,784.32
99.7,x,764.7
99.8,x,745.1
99.9,x,745.1
100,x,745.1
100.1,x,725.5
100.2,x,705.88
100.3,x,666.66
100.4,x,647.06
100.5,x,647.06
100.6,x,627.46
100.7,x,627.46
100.8,x,627.46
100.9,x,607.84
101,x,588.24
101.1,x,588.24
101.2,x,568.62
101.3,x,549.02
101.4,x,509.8
101.5,x,490.2
101.6,x,470.58
101.7,x,470.58
101.8,x,450.98
101.9,x,450.98
102,x,450.98
102.1,x,431.38
