Time (s),Powertrain 1 - electrical power (W),Powertrain 1 - mechanical power (W),Powertrain 1 - motor & ESC efficiency (%),Powertrain 1 - propeller efficiency (N/W),Powertrain 1 - powertrain efficiency (N/W)
232.996395,-1.1405229568481445,0,0,0,0.17835494875907898
233.996395,-0.641873836517334,0,0,0,0.3167673647403717
234.996395,-1.002906322479248,0,0,0,0.20325222611427307
235.996395,-0.8543709516525269,0,0,0,0.2367771714925766
236.996395,-0.9371108412742615,0,0,0,0.2162996083498001
237.996395,-1.144429087638855,0,0,0,0.17743822932243347
238.996395,-0.4692344069480896,0,0,0,0.4318731427192688
239.996395,-1.1333566904067993,0,0,0,0.17919547855854034
240.996395,-0.887142539024353,0,0,0,0.2288697063922882
241.996395,-0.9720436930656433,0,0,0,0.2096596509218216
242.996395,-0.5456708073616028,0,0,0,0.37251684069633484
243.996395,-0.7489774227142334,0,0,0,0.271811842918396
244.996395,-0.5343957543373108,0,0,0,0.38154688477516174
245.996395,-0.9130487442016602,0,0,0,0.22702628374099731
246.996395,-1.216257095336914,0,0,0,0.1671552062034607
247.996395,-1.1170337200164795,0,0,0,0.17703790962696075
248.996395,-0.5231767892837524,0,0,0,0.38408100605010986
249.996395,-0.6307944059371948,0,0,0,0.31895163655281067
250.996395,-1.4041593074798584,0,0,0,0.14282512664794922
251.996395,-1.0991641283035278,0,0,0,0.1817435622215271
252.996395,-0.9669804573059082,0,0,0,0.20875351130962372
253.996395,-0.7910306453704834,0,0,0,0.25377118587493896
254.996395,-1.023905873298645,0,0,0,0.19730959832668304
255.996395,-1.2564821243286133,0,0,0,0.1598578840494156
256.996395,-1.1198421716690063,0,0,0,0.17977283895015717
257.996395,-1.2093290090560913,0,0,0,0.167308047413826
258.996395,-1.1356908082962036,0,0,0,0.17636725306510925
259.996395,-0.9982976317405701,0,0,0,0.1996290385723114
260.996395,-1.2224421501159668,0,0,0,0.16434824466705322
261.996395,-0.7632455825805664,0,0,0,0.2644506096839905
262.996395,-0.816046416759491,0,0,0,0.24674370884895325
263.996395,-0.9099414348602295,0,0,0,0.223024383187294
264.996395,-0.9946515560150146,0,0,0,0.20395241677761078
265.996395,-1.036832332611084,0,0,0,0.19570684432983398
266.996395,-1.159647822380066,0,0,0,0.17281252145767212
267.996395,-0.8167810440063477,0,0,0,0.24673399329185486
268.996395,-0.8537632822990417,0,0,0,0.23639564216136932
269.996395,-1.0190753936767578,0,0,0,0.1991187334060669
270.996395,-1.1711552143096924,0,0,0,0.17250776290893555
271.996395,-1.464086651802063,0,0,0,0.1385088413953781
272.996395,-1.3475958108901978,0,0,0,0.1510077714920044
273.996395,-1.207865595817566,0,0,0,0.16734974086284637
274.996395,-0.8368891477584839,0,0,0,0.2410552203655243
275.996395,-1.4365723133087158,0,0,0,0.1420677751302719
276.996395,-1.1184101104736328,0,0,0,0.1810196191072464
277.996395,-0.7216079831123352,0,0,0,0.28181421756744385
278.996395,-1.4720470905303955,0,0,0,0.1374041736125946
279.996395,-2.537188768386841,0,0,0,0.07938409596681595
280.996395,-2.6198618412017822,0,0,0,0.0765291228890419
281.996395,-2.598659038543701,0,0,0,0.07787580788135529
282.996395,-2.7731125354766846,0,0,0,0.07293649017810822
283.996395,-2.701150894165039,0,0,0,0.07470526546239853
284.996395,-2.563457489013672,0,0,0,0.07867912203073502
285.996395,-2.5082428455352783,0,0,0,0.08052756637334824
286.996395,-2.2066006660461426,0,0,0,0.09214745461940765
287.996395,-2.6928999423980713,0,0,0,0.07534158229827881
288.996395,-2.573524236679077,0,0,0,0.07846231758594513
289.996395,-2.334616184234619,0,0,0,0.08679495751857758
290.996395,-2.5711491107940674,0,0,0,0.07876995950937271
291.996395,-2.810476064682007,0,0,0,0.07175295054912567
292.996395,-2.9168472290039062,0,0,0,0.06962623447179794
293.996395,-2.4034831523895264,0,0,0,0.0845586284995079
294.996395,-2.5000765323638916,0,0,0,0.08089761435985565
295.996395,-2.204190254211426,0,0,0,0.09168432652950287
296.996395,-2.3012447357177734,0,0,0,0.08734742552042007
297.996395,-2.3793420791625977,0,0,0,0.08459623903036118
298.996395,-2.2626020908355713,0,0,0,0.08924844115972519
299.996395,-2.677579402923584,0,0,0,0.07578611373901367
300.996395,-2.5883615016937256,0,0,0,0.07800666242837906
