Time (s),Powertrain 1 ESC throttle - target (μs)
604.45,1291.7642
605.45,1296.2746
606.45,1301.568
607.45,1307.8432
608.45,1310.1960000000001
609.45,1313.922
610.45,1320.3924
611.45,1328.431
612.45,1329.9994000000002
613.45,1329.0192000000002
614.45,1333.1378
615.45,1332.157
616.45,1335.294
617.45,1333.5292000000002
618.45,1337.2548
619.45,1331.3726000000001
620.45,1318.2354
621.45,1308.2352
622.45,1296.6668
623.45,1281.1762
624.45,1281.3722
625.45,1291.961
626.45,1299.0192
627.45,1298.4312
628.45,1270.5884
629.45,1230.392
630.45,1201.1766
631.45,1200.0
632.45,1200.0
633.45,1200.0
634.45,1200.0
635.45,1200.0
636.45,1260.0
637.45,1400.0
638.45,1380.0
639.0,1200.0
